,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
241,50.0,5.0,44.0,60.0,3.0,352.0,19.0,5.0,380.0,12.0,5.0,283.0,41.0,4.0,105.0,4.0,4.0,69.0,12.0,2.0,35.0
242,106.0,3.0,230.0,28.0,3.0,174.0,52.0,3.0,111.0,31.0,4.0,132.0,42.0,3.0,130.0,18.0,3.0,46.0,4.0,4.0,11.0
243,2.0,4.0,179.0,28.0,3.0,184.0,75.0,4.0,410.0,35.0,3.0,198.0,6.0,4.0,117.0,12.0,4.0,75.0,4.0,3.0,30.0
244,15.0,6.0,821.0,54.0,3.0,312.0,45.0,4.0,358.0,13.0,4.0,121.0,15.0,3.0,101.0,10.0,4.0,39.0,5.0,3.0,43.0
245,23.0,4.0,258.0,15.0,4.0,40.0,18.0,3.0,528.0,19.0,5.0,145.0,22.0,4.0,86.0,13.0,3.0,105.0,8.0,3.0,58.0
246,47.0,3.0,231.0,60.0,4.0,405.0,78.0,4.0,283.0,69.0,3.0,337.0,27.0,4.0,95.0,5.0,3.0,32.0,4.0,4.0,35.0
247,23.0,3.0,140.0,29.0,4.0,360.0,39.0,3.0,339.0,66.0,4.0,245.0,17.0,3.0,135.0,6.0,4.0,39.0,4.0,3.0,22.0
248,399.0,3.0,341.0,71.0,3.0,243.0,115.0,4.0,189.0,50.0,4.0,128.0,16.0,3.0,156.0,7.0,3.0,76.0,6.0,3.0,25.0
249,158.0,3.0,527.0,8.0,3.0,476.0,70.0,4.0,461.0,48.0,4.0,237.0,15.0,3.0,103.0,7.0,4.0,50.0,4.0,4.0,28.0
250,43.0,3.0,411.0,175.0,4.0,279.0,42.0,4.0,388.0,52.0,4.0,137.0,24.0,4.0,105.0,8.0,3.0,49.0,5.0,2.0,18.0
