,type0,type1,type2,type3
1306,,,,90.0
1307,,,,194.0
1308,,,,110.0
1309,,,,
1310,182.0,,,43.0
1311,50.0,,,
1312,,,,168.0
1313,,,,55.0
1314,,,,90.0
1315,,156.0,,22.0
1316,343.0,,,116.0
1317,,359.0,,243.0
1318,,,,28.0
1319,,,,146.0
1320,,,,160.0
1321,,,,23.0
1322,,,,56.0
1323,,,,168.0
1324,299.0,,,
1325,,,,72.0
1326,,,,
1327,,,,57.0
1328,,,,96.0
1329,,218.0,,61.0
1330,,,,97.0
1331,,,,
1332,,,,135.0
1333,,77.0,,
1334,,,,
1335,,,,
1336,473.0,,,
1337,,97.0,,76.0
1338,,391.0,,52.0
1339,186.0,,,30.0
1340,,,,96.0
1341,,321.0,,75.0
1342,171.0,271.0,,405.0
1343,,,,44.0
1344,,83.0,,38.0
1345,,296.0,,
1346,309.0,198.0,,131.0
1347,,83.0,,137.0
1348,535.0,,,203.0
1349,,,,25.0
1350,285.0,,,64.0
1351,,195.0,,47.0
1352,,135.0,,
1353,49.0,,,102.0
1354,,,,82.0
1355,,,,211.0
1356,168.0,448.0,,76.0
1357,172.0,,,73.0
1358,,,,
1359,,,,60.0
1360,,,,56.0
1361,,,,
1362,,,,
1363,177.0,213.0,,61.0
1364,673.0,,,85.0
1365,,104.0,,48.0
1366,,133.0,,134.0
1367,880.0,,,63.0
1368,,,,122.0
1369,,,,55.0
1370,,,,73.0
1371,647.0,,,117.0
1372,,96.0,,
1373,,,,237.0
